Date,State,Total_Cured,Total_Deaths,Total_Confirmed,New_Cured,New_Deaths,New_Confirmed
2020-01-30,Kerala,0,0,1,0,0,1
2020-01-31,Kerala,0,0,1,0,0,0
2020-02-01,Kerala,0,0,2,0,0,1
2020-02-02,Kerala,0,0,3,0,0,1
2020-02-03,Kerala,0,0,3,0,0,0
2020-02-04,Kerala,0,0,3,0,0,0
2020-02-05,Kerala,0,0,3,0,0,0
2020-02-06,Kerala,0,0,3,0,0,0
2020-02-07,Kerala,0,0,3,0,0,0
2020-02-08,Kerala,0,0,3,0,0,0
2020-02-09,Kerala,0,0,3,0,0,0
2020-02-10,Kerala,0,0,3,0,0,0
2020-02-11,Kerala,0,0,3,0,0,0
2020-02-12,Kerala,0,0,3,0,0,0
2020-02-13,Kerala,0,0,3,0,0,0
2020-02-14,Kerala,0,0,3,0,0,0
2020-02-15,Kerala,0,0,3,0,0,0
2020-02-16,Kerala,0,0,3,0,0,0
2020-02-17,Kerala,0,0,3,0,0,0
2020-02-18,Kerala,0,0,3,0,0,0
2020-02-19,Kerala,0,0,3,0,0,0
2020-02-20,Kerala,0,0,3,0,0,0
2020-02-21,Kerala,0,0,3,0,0,0
2020-02-22,Kerala,0,0,3,0,0,0
2020-02-23,Kerala,0,0,3,0,0,0
2020-02-24,Kerala,0,0,3,0,0,0
2020-02-25,Kerala,0,0,3,0,0,0
2020-02-26,Kerala,0,0,3,0,0,0
2020-02-27,Kerala,0,0,3,0,0,0
2020-02-28,Kerala,0,0,3,0,0,0
2020-02-29,Kerala,0,0,3,0,0,0
2020-03-01,Kerala,0,0,3,0,0,0
2020-03-02,Delhi,0,0,1,0,0,1
2020-03-02,Kerala,0,0,3,0,0,0
2020-03-02,Telangana,0,0,1,0,0,1
2020-03-03,Delhi,0,0,1,0,0,0
2020-03-03,Kerala,3,0,3,3,0,0
2020-03-03,Rajasthan,0,0,1,0,0,1
2020-03-03,Telangana,0,0,1,0,0,0
2020-03-04,Delhi,0,0,1,0,0,0
2020-03-04,Haryana,0,0,2,0,0,2
2020-03-04,Kerala,3,0,3,0,0,0
2020-03-04,Rajasthan,0,0,15,0,0,14
2020-03-04,Telangana,0,0,1,0,0,0
2020-03-04,Uttar Pradesh,0,0,6,0,0,6
2020-03-05,Delhi,0,0,2,0,0,1
2020-03-05,Haryana,0,0,2,0,0,0
2020-03-05,Kerala,3,0,3,0,0,0
2020-03-05,Rajasthan,0,0,15,0,0,0
2020-03-05,Telangana,0,0,1,0,0,0
2020-03-05,Uttar Pradesh,0,0,7,0,0,1
2020-03-06,Delhi,0,0,3,0,0,1
2020-03-06,Haryana,0,0,2,0,0,0
2020-03-06,Kerala,3,0,3,0,0,0
2020-03-06,Rajasthan,0,0,15,0,0,0
2020-03-06,Telangana,0,0,1,0,0,0
2020-03-06,Uttar Pradesh,0,0,7,0,0,0
2020-03-07,Delhi,0,0,3,0,0,0
2020-03-07,Haryana,0,0,2,0,0,0
2020-03-07,Kerala,3,0,3,0,0,0
2020-03-07,Ladakh,0,0,2,0,0,2
2020-03-07,Rajasthan,0,0,15,0,0,0
2020-03-07,Tamil Nadu,0,0,1,0,0,1
2020-03-07,Telangana,0,0,1,0,0,0
2020-03-07,Uttar Pradesh,0,0,7,0,0,0
2020-03-08,Delhi,0,0,3,0,0,0
2020-03-08,Haryana,0,0,2,0,0,0
2020-03-08,Kerala,3,0,8,0,0,5
2020-03-08,Ladakh,0,0,2,0,0,0
2020-03-08,Rajasthan,0,0,15,0,0,0
2020-03-08,Tamil Nadu,0,0,1,0,0,0
2020-03-08,Telangana,0,0,1,0,0,0
2020-03-08,Uttar Pradesh,0,0,7,0,0,0
2020-03-09,Delhi,0,0,4,0,0,1
2020-03-09,Haryana,0,0,2,0,0,0
2020-03-09,Jammu and Kashmir,0,0,1,0,0,1
2020-03-09,Karnataka,0,0,1,0,0,1
2020-03-09,Kerala,3,0,9,0,0,1
2020-03-09,Ladakh,0,0,2,0,0,0
2020-03-09,Maharashtra,0,0,2,0,0,2
2020-03-09,Punjab,0,0,1,0,0,1
2020-03-09,Rajasthan,0,0,15,0,0,0
2020-03-09,Tamil Nadu,0,0,1,0,0,0
2020-03-09,Telangana,0,0,1,0,0,0
2020-03-09,Uttar Pradesh,0,0,7,0,0,0
2020-03-10,Delhi,0,0,4,0,0,0
2020-03-10,Haryana,0,0,2,0,0,0
2020-03-10,Jammu and Kashmir,0,0,1,0,0,0
2020-03-10,Karnataka,0,0,4,0,0,3
2020-03-10,Kerala,3,0,15,0,0,6
2020-03-10,Ladakh,0,0,2,0,0,0
2020-03-10,Maharashtra,0,0,5,0,0,3
2020-03-10,Punjab,0,0,1,0,0,0
2020-03-10,Rajasthan,0,0,15,0,0,0
2020-03-10,Tamil Nadu,0,0,1,0,0,0
2020-03-10,Telangana,0,0,1,0,0,0
2020-03-10,Uttar Pradesh,0,0,7,0,0,0
2020-03-11,Delhi,0,0,5,0,0,1
2020-03-11,Haryana,0,0,14,0,0,12
2020-03-11,Jammu and Kashmir,0,0,1,0,0,0
2020-03-11,Karnataka,0,0,4,0,0,0
2020-03-11,Kerala,3,0,17,0,0,2
2020-03-11,Ladakh,0,0,2,0,0,0
